Colunas1;Colunas2;Colunas3;Colunas4;Colunas5;Colunas6;Colunas7;Colunas8;Colunas9;Colunas10;Colunas11;Colunas12;Colunas13;Colunas14;Colunas15;Colunas16;Colunas17
Sudeste;SP;;35;;;;25/02/2020;9;45919049;0;0;0;0;;;
Sudeste;SP;;35;;;;26/02/2020;9;45919049;1;1;0;0;;;
Sudeste;SP;;35;;;;27/02/2020;9;45919049;1;0;0;0;;;
Sudeste;SP;;35;;;;28/02/2020;9;45919049;1;0;0;0;;;
Sudeste;SP;;35;;;;29/02/2020;9;45919049;2;1;0;0;;;
Sudeste;SP;;35;;;;01/03/2020;10;45919049;2;0;0;0;;;
Sudeste;SP;;35;;;;02/03/2020;10;45919049;2;0;0;0;;;
Sudeste;SP;;35;;;;03/03/2020;10;45919049;2;0;0;0;;;
Sudeste;SP;;35;;;;04/03/2020;10;45919049;3;1;0;0;;;
Sudeste;SP;;35;;;;05/03/2020;10;45919049;6;3;0;0;;;
Sudeste;SP;;35;;;;06/03/2020;10;45919049;10;4;0;0;;;
Sudeste;SP;;35;;;;07/03/2020;10;45919049;13;3;0;0;;;
Sudeste;SP;;35;;;;08/03/2020;11;45919049;16;3;0;0;;;
Sudeste;SP;;35;;;;09/03/2020;11;45919049;16;0;0;0;;;
Sudeste;SP;;35;;;;10/03/2020;11;45919049;19;3;0;0;;;
Sudeste;SP;;35;;;;11/03/2020;11;45919049;30;11;0;0;;;
Sudeste;SP;;35;;;;12/03/2020;11;45919049;42;12;0;0;;;
Sudeste;SP;;35;;;;13/03/2020;11;45919049;56;14;0;0;;;
Sudeste;SP;;35;;;;14/03/2020;11;45919049;65;9;0;0;;;
Sudeste;SP;;35;;;;15/03/2020;12;45919049;136;71;0;0;;;
Sudeste;SP;;35;;;;16/03/2020;12;45919049;152;16;0;0;;;
Sudeste;SP;;35;;;;17/03/2020;12;45919049;164;12;1;1;;;
Sudeste;SP;;35;;;;18/03/2020;12;45919049;240;76;4;3;;;
Sudeste;SP;;35;;;;19/03/2020;12;45919049;286;46;4;0;;;
Sudeste;SP;;35;;;;20/03/2020;12;45919049;396;110;9;5;;;
Sudeste;SP;;35;;;;21/03/2020;12;45919049;459;63;15;6;;;
Sudeste;SP;;35;;;;22/03/2020;13;45919049;631;172;22;7;;;
Sudeste;SP;;35;;;;23/03/2020;13;45919049;745;114;30;8;;;
Sudeste;SP;;35;;;;24/03/2020;13;45919049;810;65;40;10;;;
Sudeste;SP;;35;;;;25/03/2020;13;45919049;862;52;48;8;;;
Sudeste;SP;;35;;;;26/03/2020;13;45919049;1052;190;58;10;;;
Sudeste;SP;;35;;;;27/03/2020;13;45919049;1223;171;68;10;;;
Sudeste;SP;;35;;;;28/03/2020;13;45919049;1406;183;84;16;;;
Sudeste;SP;;35;;;;29/03/2020;14;45919049;1451;45;98;14;;;
Sudeste;SP;;35;;;;30/03/2020;14;45919049;1517;66;113;15;;;
